"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_EVENT_TITLE","Hammer Jam","Hammer Jam","夯木节","狂歡升級嘉年華","Hammerparty","Martillomanía","چکش‌کاری فشرده","Hammer Jam","Convention des marteaux","Hammer Jam","Qui si batte chiodo!","建設ラッシュ","해머잼","Hammer Jam","Hammer Jam","Hammer Jam","Hammer Jam","Martelofolia","Hammer Jam","Hammer Jam","Çekiç Vakti","Hammer Jam"
"TID_EVENT_TEXT","Builder got his hands on a mysterious Meteorite Hammer! Enjoy 50% off upgrade timers and a 2x boost to resource collector capacities and production. Supercharges and Crafted Defenses are not included.","وضع البنّاء يديه على مطرقة نيزكية غامضة. استمتع بخصم 50% على مؤقتات الترقية، ومعززين لسعات مستخرجات الموارد والإنتاج. لا يتضمن الشحن الخارق والدفاعات المصنعة.","建筑工人弄到了一把神秘的陨石锤子！升级时间缩短50%，资源采集器的容量和产量翻倍。超级充能和精工防御不包含在内。","建築工人弄到了一把神祕的隕石錘子！升級時間縮短50%，資源採集器的空間和產量加倍。超級蓄能和精工防禦不包含在內。","Der Bauarbeiter ist an einen Meteoritenhammer gekommen: 50 % geringere Verbesserungszeit und 2-fach-Schub für Sammlerkapazität und Produktion. Aufladungen und gefertigte Abwehranlagen nicht enthalten.","El constructor encontró un martillo meteórico que reduce al 50 % los tiempos de las mejoras y dobla la producción y la capacidad de los recolectores. Supercargas y defensas artesanales no incluidas.","یک چکش مرموز شهاب‌سنگی به دست سازنده رسیده است! از 50% تخفیف زمان ارتقا و تقویت دوبرابری ظرفیت و تولید جمع‌کننده‌های منابع لذت ببرید. اَبَرشارژها و دفاع‌های ساخته‌شده شامل آن نمی‌شوند.","Rakentaja löysi meteoriittivasaran! Päivitysajat ovat 50 % lyhyempiä ja resurssikapasiteetilla ja tuotannolla on kaksinkertainen tehostus. Ei koske superlatauksia ja valmistettuja puolustuksia.","L'ouvrier a mis la main sur un mystérieux marteau météorique, qui accélère de 50 % les améliorations et double la capacité et production des extracteurs. Supercharges et défenses assemblées exclues.","Tukang mendapatkan Palu Meteorit misterius! Raih diskon 50% untuk waktu peningkatan serta 2x pelaju untuk kapasitas pengumpul sumber daya dan produksi. Buster Super dan Pertahanan DIY tidak termasuk.","Il costruttore ha ottenuto un martello meteoritico che dimezza i tempi di miglioramento e raddoppia capacità e produzione degli estrattori! (Sovraccarichi e difese personalizzabili non inclusi.)","大工が謎のメテオハンマーを手に入れました！アップグレード時間が50％減少し、資源生産施設の容量と生産量が2倍にアップします！スーパーチャージとクラフト防衛設備は対象外です。","장인이 신비로운 운석 망치를 손에 넣었어요! 업그레이드 타이머가 50% 단축되고 자원 정제소 용량과 생산 속도가 2배가 됩니다. 슈퍼 충전과 크래프트 방어시설은 포함되지 않습니다.","Pembina berjaya mendapatkan Tukul Meteorit misteri! Nikmati pengurangan 50% masa peningkatan dan 2x kapasiti dan pengeluaran pengumpul sumber. Cas Super dan Pertahanan Dikimpal tidak termasuk.","De bouwvakker heeft een meteoriethamer gevonden! Krijg 50% korting op upgradetimers en 2x zoveel opslag en productie voor je grondstofverzamelaars! Superboosts en verdedigingscreaties niet inbegrepen.","Byggeren har nå en mystisk meteoritthammer! Få halv pris på oppgraderingstidtakere og 2x boost av ressursinnsamlernes kapasitet og produksjon. Superstyrking og håndverksforsvar er ikke inkludert.","Budowniczy dorwał tajemniczy meteorytowy młot! Ciesz się połowicznym czasem ulepszeń oraz podwójną pojemnością i produkcją kolektorów zasobów. Nie działa na doładowania i nowatorskie systemy obronne.","O construtor encontrou um martelo de meteorito! Melhorias 50% mais rápidas, coletores de recursos com capacidade 2x maior e produção 2x mais rápida. Não inclui supercargas e defesas diferenciadas.","Строитель раздобыл загадочный метеоритный молот! Время улучшения сокращается на 50 %, а добыча ресурсов и вместительность сборщиков удваиваются. Не действует на суперзаряженные и ремесленные здания.","ช่างก่อสร้างได้ค้อนฝนดาวตกปริศนามาครอง! สนุกไปกับตัวจับเวลาอัปเกรดลดระยะเวลา 50% รวมทั้งบูสต์ 2 เท่าสำหรับการผลิตและความจุเครื่องรวบรวมทรัพยากร ไม่รวมซูเปอร์ชาร์จและการป้องกันประดิษฐ์","İnşaatçı, gizemli bir meteorit çekici bulmuş! Yükseltme sürelerini %50 kısaltıyor, kaynak toplayıcı kapasitesini ve üretimini iki katına çıkarıyor. Süperşarjları ve modifiye savunmaları etkilemez.","Thợ xây đã có Búa thiên thạch! Thời gian nâng cấp giảm 50%, sức chứa và năng suất của công trình thu thập tài nguyên tăng gấp đôi. Không áp dụng cho Siêu cường hóa và Công trình Phòng thủ tự chế."
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
