TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU,AR,CNT,FA,ID,MS,VI,TH,FI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_BOOSTER_HERO_POTION,Hero Potion,Potion de héros,Heldentrank,Pócima heroica,Pozione degli eroi,Heldendrankje,Heltedrikk,Poção de herói,Kahraman İksiri,ヒーローポーション,英雄药水,영웅 포션,Зелье героя,جرعة البطل,英雄藥水,معجون قهرمان,Ramuan Pahlawan,Posyen Wira,Thuốc Tướng,น้ำยาผู้กล้า,Sankarin rohto
TID_BOOSTER_MOVE_OBSTACLE_ALT_2_LINE,Shovel of Obstacles,Pelle à obstacles,Hindernis-\nschaufel,Pala para obstáculos,Vanga per ostacoli,Obstakelschuiver,Hinderspade,Pá de obstáculos,Engel Küreği,障害物のシャベル,移位任意铲,장애물 삽,Лопата для препятствий,مجرفة العوائق,移位任意鏟,بیل موانع,Sekop Penghalang,Penyodok Halangan,Xẻng Chướng ngại vật,พลั่วแห่งสิ่งกีดขวาง,Estelapio
TID_BOOSTER_WALL_UPGRADE,Wall Ring,Anneau des remparts,Mauerring,Anillo de muros,Anello da mura,Murenring,Murring,Anel de muro,Duvar Yüzüğü,壁リング,壁垒之戒,장벽 링,Кольцо стены,خاتم الجدران,壁壘之戒,حلقه دیوار,Cincin Tembok,Cincin Tembok,Nhẫn Tường thành,แหวนกำแพง,Muurisormus
TID_BOOSTER_BOOST_RESOURCES_ALT_2_LINE,Resource Potion,Potion de ressources,Ressourcentrank,Pócima de recursos,Pozione di risorse,Grondstoffen-\ndrankje,Ressursdrikk,Poção de Recursos,Kaynak İksiri,資源ポーション,资源药水,자원 포션,Зелье ресурсов,جرعة الموارد,資源藥水,معجون منبع,Ramuan Sumber Daya,Posyen Sumber,Thuốc Tài nguyên,น้ำยาทรัพยากร,Resurssirohto
TID_BOOSTER_FILL_ELIXIR_STORAGE_ALT_2_LINE,Rune of Elixir,Rune d'élixir,Rune des Elixiers,Runa de elixir,Runa d'elisir,Elixir-\nrune,Rune av eliksir,Runa de elixir,İksir Rünü,エリクサーのルーン,圣水符石,엘릭서 룬,Руна эликсира,تميمة الإكسير,聖水符石,کتیبه اکسیر,Rune Eliksir,Rune Eliksir,Đá cổ ngữ Tiên dược,รูนน้ำอมฤต,Eliksiirin riimukivi
TID_BOOSTER_FILL_GOLD_STORAGE,Rune of Gold,Rune d'or,Rune des Golds,Runa de oro,Runa d'oro,Goudrune,Rune av gull,Runa de ouro,Altın Rünü,ゴールドのルーン,金币符石,골드 룬,Руна золота,تميمة الذهب,金幣符石,کتیبه طلا,Rune Emas,Rune Emas,Đá cổ ngữ Vàng,รูนทองคำ,Kullan riimukivi
TID_BOOSTER_FINISH_BUILDING_UPGRADE_ALT_2_LINE,Book of Building,Livre des bâtiments,Buch des Bauens,Libro de construcción,Libro degli edifici,Gebouwen-\nboek,Byggebok,Livro das Construções,İnşaat Kitabı,建物の本,建筑之书,건물의 책,Книга строительства,كتاب المباني,建築之書,کتاب ساختمان,Kitab Konstruksi,Buku Bangunan,Công trình Thư,ตำราสิ่งก่อสร้าง,Rakentamisen kirja
TID_BOOSTER_FINISH_ANY_UPGRADE,Book of Everything,Livre universel,Universalbuch,Libro universal,Libro onnisciente,Allesboek,Bok med alt,Livro Universal,Her Şeyin Kitabı,森羅万象の本,万能之书,궁극의 책,Книга всего,كتاب كل شيء,萬能之書,کتاب همه‌چیز,Kitab Segalanya,Buku tentang Segalanya,Vạn vật Thư,ตำราสรรพสิ่ง,Kaiken tiedon kirja
TID_BOOSTER_FINISH_HERO_UPGRADE_ALT_2_LINE,Book of Heroes,Livre des héros,Buch der Helden,Libro de héroes,Libro degli eroi,Helden-\nboek,Heltebok,Livro dos Heróis,Kahramanlar Kitabı,ヒーローの本,英雄之书,영웅의 책,Книга героев,كتاب الأبطال,英雄之書,کتاب قهرمان‌ها,Kitab Pahlawan,Buku Wira-wira,Tướng Thư,ตำราผู้กล้า,Sankareiden kirja
TID_BOOSTER_BUILDERS_ALT_2_LINE,Builder Potion,Potion de l'ouvrier,Bauarbeiter-\ntrank,Pócima del constructor,Pozione del costruttore,Bouwvakkers-\ndrankje,Byggerens drikk,Poção do Construtor,İnşaatçı İksiri,大工ポーション,建筑工人药水,장인 포션,Зелье строителя,جرعة البنّاء,建築工人藥水,معجون سازنده,Ramuan Tukang,Posyen Pembina,Thuốc Thợ xây,น้ำยาช่างก่อสร้าง,Rakentajan rohto
