TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_EVENT_TITLE,Hammer Jam Is Back!,عاد Hammer Jam!,夯木节欢乐回归！,狂歡升級嘉年華回歸!,Die Hammerparty ist wieder da!,¡Vuelve la Martillomanía!,«چکش‌کاری فشرده» برگشته است!,Hammer Jam on taas täällä!,La Convention des marteaux est de retour !,Hammer Jam Telah Kembali!,Qui si batte ancora chiodo!,建設ラッシュが復活！,해머잼이 돌아왔습니다!,Hammer Jam dah kembali!,Hammer Jam is terug!,Hammer Jam er tilbake!,A Martelofolia voltou!,Событие Hammer Jam вернулось!,Hammer Jam กลับมาแล้ว!,Çekiç Vakti Geldi!,Sự kiện Hammer Jam đã trở lại!
TID_EVENT_TEXT,"The Builder found his Hammer! Home Village upgrade costs and timers are cut in half, resource collectors produce 3x faster, and their capacities are tripled throughout Hammer Jam. Woo-hoo!",وجد البنّاء مطرقته. تم خفض تكاليف ترقية القرية الأم والمؤقتات إلى النصف، وينتج جامعو الموارد بثلاثة أمثال السرعة وتتضاعف سعة تخزينهم ثلاث مرات طوال فترة Hammer Jam. يا له من خبر مدهش!,建筑工人找到了他的锤子！夯木节期间，家乡村庄升级的费用和时间减半，资源采集器的生产速度和存储空间提升至之前的3倍。哇塞！,建築工人找到了他的錘子！狂歡升級嘉年華期間，家鄉村莊升級的費用和時間減半，資源採集器的生產速度和儲存空間提升至之前的3倍。喔耶！,"Der Bauarbeiter hat seinen Hammer gefunden! Zur Hammerparty sind Verbesserungszeiten und -kosten im Heimatdorf 50 % reduziert, Ressourcensammler produzieren 3-mal so schnell und lagern 3-mal so viel!","¡El constructor encontró su martillo! Durante el evento, los costes y tiempos de las mejoras de la aldea se reducen a la mitad, y la velocidad y la capacidad de los recolectores se triplica. ¡Viva!",سازنده چکش خود را پیدا کرد! هزینه‌های ارتقای دهکده خانه و زمان‌سنج‌ها به نصف کاهش می‌یابد، جمع‌کننده‌های منابع 3 برابر سریع‌تر تولید می‌کنند و ظرفیت آنها در سراسر چکش‌کاری فشرده سه برابر می‌شود. وو هو!,Rakentaja löysi vasaransa! Kotikylän päivitykset ovat 50 % edullisempia ja nopeampia. Resurssinkerääjien nopeus ja kapasiteetti on kolminkertainen. Tervetuloa Hammer Jam -tapahtumaan!,Complètement marteau ! Les améliorations du village principal coûtent la moitié en or et en temps et les extracteurs et mines produisent et peuvent contenir 3x plus pendant la Convention des marteaux.,"Si Tukang kembali dengan Palu sakti! Selama Hammer Jam, waktu dan biaya peningkatan Desa Asal dipotong 50%, pengumpul sumber daya bekerja 3x lebih cepat, dan kapasitasnya 3x lebih besar. Yihaaa!","Rimboccati le maniche! Durante l'evento, i costi e i tempi di miglioramento nel villaggio base sono dimezzati, mentre la velocità e la capacita degli edifici delle risorse sono triplicate! Evvai!",大工が再び本気を出します！建設ラッシュ中は、村のアップグレードコストと建設時間が半分になるほか、資源生産施設の速度と収容量が3倍になります。この機会をお見逃しなく！,"장인이 해머를 찾았어요! 해머잼 이벤트 동안 마을 업그레이드 비용과 시간이 절반으로 줄어들며, 자원의 생산 속도와 저장 용량이 3배 증가합니다. 야호!","Pembina telah menemukan tukul dia! Kos dan masa peningkatan Kampung Asal dikurangkan separuh, pengumpul sumber hasilkan 3x lebih cepat dan kapasiti ditingkatkan tiga kali ganda sepanjang Hammer Jam.",De bouwvakker heeft zijn hamer gevonden! Tijdens Hammer Jam zijn upgradekosten en timers in het thuisdorp gehalveerd en produceren grondstofverzamelaars 3x zo snel en hebben ze 3x zoveel capaciteit!,"Byggeren har funnet hammeren sin! Oppgraderingskostnader og tidtakere i hjem-landsbyen er kappet i to, ressursinnsamlere produserer 3 ganger så raskt, og kapasiteten deres tredobles under Hammer Jam!","O Construtor ficou maluco! Durante o evento, melhore edifícios na vila principal pela metade do preço e aproveite um bônus que triplica a sua produção de recursos e a capacidade de armazenamento!","Строитель нашел свой молоток! Стоимость и время улучшения зданий в родной деревне уменьшены вдвое, а скорость производства ресурсов и вместимость хранилищ увеличены в три раза. Ура!",ช่างก่อสร้างพบค้อนของเขาแล้ว! ค่าใช้จ่ายและระยะเวลาในการอัปเกรดในหมู่บ้านหลักลดเหลือครึ่งหนึ่ง เครื่องผลิตทรัพยากรผลิตเร็วขึ้น 3 เท่า และความจุก็เพิ่มขึ้น 3 เท่าตลอดระยะเวลาของ Hammer Jam! วู้ฮู้!,"İnşaatçı, çekicini buldu! Çekiç Vakti boyunca asıl köydeki yükseltme maliyetleri ve süreleri yarıya indi, kaynak üreticiler üç kat hızlı çalışıyor ve depolama kapasiteleri üç katına çıktı. Yaşasın!","Thợ xây đã tìm thấy chiếc búa của mình! Giảm một nửa thời gian và chi phí nâng cấp ở Làng Chính, tăng gấp 3 sức chứa và tốc độ sản xuất của các công trình thu thập tài nguyên trong sự kiện Hammer Jam."
TID_WATCH,Watch!,المشاهدة,立即观看!,立即觀看!,Ansehen,Ver,تماشا!,Katso!,Regarder,Tonton!,Guarda,見る！,영상 보기!,Tonton,Kijken!,Se!,Assistir,Смотреть,รับชม,İzle!,Xem!
BUTTON_0,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w,https://www.youtube.com/watch?v=4g-vh2zw93w
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
