TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI,PL
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_EVENT_TITLE_GOLDENAID,Golden Aid,مساعدة من ذهب,金币支援,金幣支援,Goldene Hilfe,Ayuda dorada,یاری طلایی,Puhdasta kultaa,Assistance en or,Sumbangan Emas,Cascata d'oro,金色の救済,골드가 왔습니다,Bantuan Emas,Gouden hulp,Gyllen hjelp,Ajuda áurea,Золото в помощь,ตกถังทองคำ,Altın Yardımı,Tiếp tế Vàng,Złota pomoc
TID_EVENT_TITLE_RESOURCERELIEF,Resource Relief,معونة الموارد,资源支援,及時補給,Ressourcenreserve,Reserva de recursos,مملوء از منبع,Reteet resurssit,Ressourcé,Sumbangan Sumber Daya,Riserve di risorse,資源支援,"휴, 자원이다",Bantuan Sumber,Grondstofweelde,Ressurshjelp,Renovando recursos,Второе дыхание,แหล่งทรัพยากร,Kaynak Bolluğu,Giải tỏa Tài nguyên,Dostawa zasobów
TID_EVENT_TITLE_SKILLEDBUILD,Skilled to Build,تقنيات البناء,鬼斧神工,鬼斧神工,Bauanleitung,Bastión de construcción,مهارت ساختن,Remonttireiska,As du marteau,Dilatih untuk Membangun,Mastro carpentiere,建設マスター,건설 마스터,Kemahiran Membina,Bouwskills,Byggebravader,Campeão da construção,Пропуск на стройку,ยอดนักสร้าง,Fırsat İnşaat,Cử nhân Xây dựng,Stworzony do budowy
TID_EVENT_TITLE_SPELLCHECK,Spell Check,خبير التعويذات,法术精进,法術無邊,Zauberhilfe,Pócima mágica,طلسم تسلیم,Loitsut kuntoon,Sous le sort,Periksa Ejaan Mantra,ABC degli incantesimi,呪文の強化,스펠 체크,Ramuan Sihir,Spreuken en wijsheden,Formel 1–2–3,Feitiço rebuliço,Юный алхимик,รวมมิตรเวทมนตร์,Büyülü Çift,Kiểm tra Thần chú,Elementarz zaklęć
TID_EVENT_TITLE_WALLNOTHING,Wall or Nothing,الجدار العظيم,建墙不息,建牆不屈,"Mauern, was das Zeug hält!",Muros seguros,یا دیوار یا هیچی,Muurikuuri,Murs imprenables,Tembok atau Dicaplok,Un muro è per sempre,壁一重,포에버 장벽,Bukit Benteng,Muurproef doorstaan,"Ny mur, aldri sur",Muro ou nada,Голые стены,เสริมพลังกำแพง,Duvar Döşer,Vạn lý Tường thành,Mur albo nic
TID_EVENT_TITLE_ZEROTOHERO,Zero to Hero,درب الأبطال,英雄崛起,英雄崛起,Vom Feigling zum Helden,Heroificación,از قعر تا قهرمان,Sankaritarina,Super héros,Pecundang Jadi Pahlawan,Eroi alla carica,ヒーローの素,슈퍼 영웅,Perwira Perkasa,Held op sokken,Helt rå,De dodói a herói,Из грязи в князи,กำเนิดผู้กล้า,Sıfırdan Kahraman,Hỗ trợ Tướng,Od zera do bohatera
TID_EVENT_TITLE_FIGHTCLUB,Fight Club,نادي القتال,战斗书会,鬥陣讀書會,Klub der Helden,El club de la lucha,باشگاه مشت‌زنی,Fight Club,Fight club,Gila Bertarung,Fight Club,ファイトクラブ,파이트 클럽,Kelab Laga,Vechtclub,Slåsseklubb,Clube da luta,Бойцовский клуб,สโมสรนักสู้,Dövüş Kulübü,Sàn đấu Sinh tử,Klub walki
TID_EVENT_TITLE_FIGHTNIGHT,Fight Night,ليلة المعركة,一战成名,一戰成名,Kampfkunstkompendium,Mucha lucha,شب جنگ,Taistovaisto,Nuit pugiliste,Malam Pertarungan,Botte da orbi,戦いの夜,전투의 밤,Malam Melaga,Vechtnacht,Kampkveld,Noite de açoite,Бой всей гурьбой,คืนหมัดมวย,Dövüş Gecesi,Đêm đấu Sinh tử,Nocna walka
TID_EVENT_TITLE_HOLDMYGOLD,Hold my Gold,أعمدة الذهب,整装待发,整裝待發,Projekt Gold,Tesoro de oro,خشت طلایی,Kultainen urakka,Raison d'or,Simpanan Emas,Al lavORO,ゴールド活用法,"장인, 골드를 부탁해",Simpan Emasku,Hou jij me goud effe vast,Hold gullet mitt,Abasteced'ouro,Держи карман шире,กรุทองคำ,Altın Fırsat,Tăng gia Sản xuất,Potrzymaj mi złoto
TID_EVENT_TITLE_LOCOMOTION,Potion Locomotion,لوازم البناء,药到功成,藥到功成,Trank sei Dank!,Recursos y construcción,معجون سازندگی,Resurssi ja remontti,Notions de potions,Gejolak Ramuan,Pozioni e costruzioni,ポーションの効果,포션 먹고 뚝딱,Gerak Alih Posyen,Drankje-bedankje,Ressurssterk drikk,Loco-poção,Зелье на новоселье,น้ำยาสารพัด,İksir Promosyonu,Tài nguyên Bội thu,Mikstury w ruch
TID_EVENT_TITLE_QUICKELIXIR,Quicker Elixir,تسريع الإكسير,圣水满溢,聖水滿溢,Elixierturbo,Elixir dinámico,اکسیر سرعتی,Eliksiiritys,Vif élixir,Eliksir Cepat,Elisir rapido,エリクサー支援,엘릭서 천국,Eliksir Pantas,Snelelixir,Raskere eliksir,Elixir para fluir,Добавка эликсира,น้ำอมฤตเร่งด่วน,Hızlı İksir,Thêm Tiên dược,Ekspresowy eliksir
TID_EVENT_TITLE_FINISHINGTOUCH,Finishing Touch,اللمسة النهائية,添砖加瓦,畫龍點睛,Feinschliff,Toque final,میخ آخر,Viimeinen silaus,Méticuleux,Sentuhan Terakhir,Tocco finale,最後の仕上げ,화룡점정,Sentuhan Pembina,Laatste hand,En siste finpuss,Toque final,Финальный штрих,บ้านสวยด้วยมือเรา,Son Rötuşlar,Xây dựng Cấp tốc,Wisienka na torcie
TID_EVENT_TITLE_TRAGICMAGIC,Tragic Magic,السحر القديم,磨砺魔力,磨礪魔力,Zauberzertifikat,Tragicomagia,جادوی جالب,Traaginen maaginen,Magique tragique,Sihir Magis Tragis,Scuola di magia,悲劇の魔法,마법 천사,Mengasah Sihir Keajaiban,Tragisch en magisch,Tragisk magisk,Mágica trágica,Магия-шмагия,ร่ายเวทย์,Büyü Köyü,Thần chú Thần kỳ,Magiczny dramat
TID_EVENT_TITLE_TRIPLETHREAT,Triple Threat,التهديد الثلاثي,水到渠成,水到渠成,Dreifachbedrohung,Triple amenaza,خطر سه برابر,Roimasti rohtoa,Triple menace,Ancaman Lipat Tiga,Tripla minaccia,ポーション盛り合わせ,무적의 트리오,Ancaman Gandaan Tiga,Driedubbele dreiging,Tredobbel trussel,Ameaça tripla,Тройная угроза,รวมพลังคูณสาม,Tehlikeli Üçlü,Nguy hiểm gấp ba,Potrójne kłopoty
TID_EVENT_TITLE_EOS_BATTLEBOOST,Battle Boost,عتاد الحرب,战场强援,戰力加持,Kampfkönig,¡A dar guerra!,تقویت تاریک,Taisteluteho,Boost de bataille,Pertempuran Ekstra,Marcia in più,戦闘ブースト,전투 부스트,Galakan Pertempuran,Gevechtsboost,Stridsboost,Força na luta,Боевой клич,พลังนักรบ,Savaş Desteği,Cường hóa Chiến đấu,Siły na bitwę
TID_EVENT_TITLE_EOS_BEHOLDTHEGOLD,Behold the Gold,كنز البنّاء,堆金成山,點石成金,Pures Gold,Construcción y oro,طلای زیر خاکی,Kulta kultasein,L'or des runes,Tembok Emas,Periodo d'oro,ゴールドコントロール,보아라 골드다,Emas Runtuh,Aanschouw het goud,Ingen tull med gull,Ouro vindouro,Золотой резерв,เปิดหีบทองคำ,Külçe Külçe Altın,Chiêm ngưỡng Vàng,Ale się złoci
