TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU,AR,CNT,FA,ID,MS,VI,TH,FI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_EVENT_TITLE_COC_BONUS1,1 Training Potion,1x Potion d'entraînement,1 Trainingstrank,1 pócima de entrenamiento,Una pozione di addestramento,1 trainingsdrankje,1 treningsdrikk,1 Poção de Treino,1 Eğitim İksiri,訓練ポーション x1,1瓶训练药水,훈련 포션 1개,1 тренировочное зелье,جرعة تدريب واحدة,1瓶訓練藥水,1 معجون آموزش,1 Ramuan Latihan,1 Posyen Latihan,1 lọ Thuốc Huấn luyện,น้ำยาการฝึก 1 ขวด,1 koulutusrohto
TID_EVENT_TITLE_COC_BONUS2,100 Gems,100 gemmes,100 Juwelen,100 gemas,100 gemme,100 edelstenen,100 juveler,100 gemas,100 Taş,100エメラルド,100颗宝石,보석 100개,100 кристаллов,100 جوهرة,100顆寶石,100 جواهر,100 Permata,100 Permata,100 Ngọc,อัญมณี 100 เม็ด,100 jalokiveä
TID_EVENT_TITLE_COC_BONUS3,1 Resource Potion,1x Potion de ressources,1 Ressourcentrank,1 pócima de recursos,Una pozione di risorse,1 grondstoffendrankje,1 ressursdrikk,1 Poção de Recursos,1 Kaynak İksiri,資源ポーション x1,1瓶资源药水,자원 포션 1개,1 зелье ресурсов,جرعة موارد واحدة,1瓶資源藥水,1 معجون منبع,1 Ramuan Sumber Daya,1 Posyen Sumber,1 lọ Thuốc Tài nguyên,น้ำยาทรัพยากร 1 ขวด,1 resurssirohto
TID_EVENT_TITLE_COC_BONUS4,25 Gems,25 gemmes,25 Juwelen,25 gemas,25 gemme,25 edelstenen,25 juveler,25 gemas,25 Taş,25エメラルド,25颗宝石,보석 25개,25 кристаллов,25 جوهرة,25顆寶石,25 جواهر,25 Permata,25 Permata,25 Ngọc,อัญมณี 25 เม็ด,25 jalokiveä
TID_EVENT_TITLE_COC_BONUS5,1 Builder Potion,1x Potion de l'ouvrier,1 Bauarbeitertrank,1 pócima del constructor,Una pozione del costruttore,1 bouwvakkersdrankje,1 byggerens drikk,1 Poção do Construtor,1 İnşaatçı İksiri,大工ポーション x1,1瓶建筑工人药水,장인 포션 1개,1 зелье строителя,جرعة بنّاء واحدة,1瓶建築工人藥水,1 معجون سازنده,1 Ramuan Tukang,1 Posyen Pembina,1 lọ Thuốc Thợ xây,น้ำยาช่างก่อสร้าง 1 ขวด,1 rakentajan rohto
TID_EVENT_TITLE_COC_BONUS6,1 Book of Heroes,1x Livre des héros,1 Buch der Helden,1 libro de héroes,Un libro degli eroi,1 heldenboek,1 heltebok,1 Livro dos Heróis,1 Kahramanlar Kitabı,ヒーローの本 x1,1本英雄之书,영웅의 책 1권,1 книга героев,كتاب أبطال واحد,1本英雄之書,1 کتاب قهرمانان,1 Kitab Pahlawan,1 Buku Wira-wira,1 quyển Tướng Thư,ตำราผู้กล้า 1 เล่ม,1 sankareiden kirja
TID_EVENT_TITLE_COC_BONUS7,10 Wall Rings,10x Anneau des remparts,10 Mauerringe,10 anillos de muros,10 anelli da mura,10 murenringen,10 murringer,10 Anéis de Muro,10 Duvar Yüzüğü,壁リング x10,10个壁垒之戒,장벽 링 10개,10 колец стены,10 خواتم جدران,10個壁壘之戒,10 حلقه دیوار,10 Cincin Tembok,10 Cincin Tembok,10 Nhẫn Tường thành,แหวนกำแพง 10 วง,10 muurisormusta
TID_EVENT_TITLE_COC_BONUS8,50 Gems,50 gemmes,50 Juwelen,50 gemas,50 gemme,50 edelstenen,50 juveler,50 gemas,50 Taş,50エメラルド,50颗宝石,보석 50개,50 кристаллов,50 جوهرة,50顆寶石,50 جواهر,50 Permata,50 Permata,50 Ngọc,อัญมณี 50 เม็ด,50 jalokiveä
TID_EVENT_TITLE_COC_BONUS9,1 Shovel of Obstacles,1x Pelle à obstacles,1 Hindernisschaufel,1 pala para obstáculos,Una vanga per ostacoli,1 obstakelschuiver,1 hinderspade,1 Pá de Obstáculos,1 Engel Küreği,障害物のシャベル x1,1把移位任意铲,장애물 삽 1개,1 лопата для препятствий,مجرفة عوائق واحدة,1把移位任意鏟,1 بیل موانع,1 Sekop Penghalang,1 Penyodok Halangan,1 Xẻng Chướng ngại vật,พลั่วแห่งสิ่งกีดขวาง 1 อัน,1 estelapio
TID_EVENT_TITLE_COC_BONUS10,1 Book of Fighting,1x Livre de combat,1 Buch des Kampfes,1 libro de lucha,Un libro della guerra,1 vechtboek,1 stridsbok,1 Livro da Luta,1 Savaş Kitabı,戦いの本 x1,1本战斗之书,유닛의 책 1권,1 книга сражений,كتاب قتال واحد,1本戰鬥之書,1 کتاب مبارزه,1 Kitab Tempur,1 Buku Laga,1 quyển Binh Thư,ตำราการต่อสู้ 1 เล่ม,1 taisteluiden kirja
TID_EVENT_TITLE_COC_BONUS11,1 Book of Building,1x Livre des bâtiments,1 Buch des Bauens,1 libro de construcción,Un libro degli edifici,1 gebouwenboek,1 byggebok,1 Livro das Construções,1 İnşaat Kitabı,建物の本 x1,1本建筑之书,건물의 책 1권,1 книга строительства,كتاب بناء واحد,1本建築之書,1 کتاب ساختمان,1 Kitab Konstruksi,1 Buku Bangunan,1 quyển Công trình Thư,ตำราสิ่งก่อสร้าง 1 เล่ม,1 rakentamisen kirja
TID_EVENT_TITLE_COC_BONUS12,1 Rune of Gold,1x Rune d'or,1 Rune des Golds,1 runa de oro,Una runa d'oro,1 goudrune,1 rune av gull,1 Runa de Ouro,1 Altın Rünü,ゴールドのルーン x1,1块金币符石,골드 룬 1개,1 руна золота,تميمة ذهب واحدة,1塊金幣符石,1 کتیبه طلا,1 Rune Emas,1 Rune Emas,1 Đá cổ ngữ Vàng,รูนทองคำ 1 ชิ้น,1 kullan riimukivi
TID_EVENT_TITLE_COC_BONUS13,1 Rune of Elixir,1x Rune d'élixir,1 Rune des Elixiers,1 runa de elixir,Una runa d'elisir,1 elixirrune,1 rune av eliksir,1 Runa de Elixir,1 İksir Rünü,エリクサーのルーン x1,1块圣水符石,엘릭서 룬 1개,1 руна эликсира,تميمة إكسير واحدة,1塊聖水符石,1 کتیبه اکسیر,1 Rune Eliksir,1 Rune Eliksir,1 Đá cổ ngữ Tiên dược,รูนน้ำอมฤต 1 ชิ้น,1 eliksiirin riimukivi
