"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","VI","TH","FI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_EVENT_TITLE_GOLDENAID","Golden Aid","Assistance en or","Goldene Hilfe","Ayuda dorada","Cascata d'oro","Gouden hulp","Gyllen hjelp","Ajuda áurea","Altın Yardımı","金色の救済","金币支援","골드가 왔습니다","Золото в помощь","مساعدة من ذهب","金幣支援","یاری طلایی","Sumbangan Emas","Bantuan Emas","Tiếp tế Vàng","ตกถังทองคำ","Puhdasta kultaa"
"TID_EVENT_TITLE_RESOURCERELIEF","Resource Relief","Ressourcé","Ressourcenreserve","Reserva de recursos","Riserve di risorse","Grondstofweelde","Ressurshjelp","Renovando recursos","Kaynak Bolluğu","資源支援","资源支援","휴, 자원이다","Второе дыхание","معونة الموارد","及時補給","مملوء از منبع","Sumbangan Sumber Daya","Bantuan Sumber","Giải tỏa Tài nguyên","แหล่งทรัพยากร","Reteet resurssit"
"TID_EVENT_TITLE_SKILLEDBUILD","Skilled to Build","As du marteau","Bauanleitung","Bastión de construcción","Mastro carpentiere","Bouwskills","Byggebravader","Campeão da construção","Fırsat İnşaat","建設マスター","鬼斧神工","건설 마스터","Пропуск на стройку","تقنيات البناء","鬼斧神工","مهارت ساختن","Dilatih untuk Membangun","Kemahiran Membina","Cử nhân Xây dựng","ยอดนักสร้าง","Remonttireiska"
"TID_EVENT_TITLE_SPELLCHECK","Spell Check","Sous le sort","Zauberhilfe","Pócima mágica","ABC degli incantesimi","Spreuken en wijsheden","Formel 1–2–3","Feitiço rebuliço","Büyülü Çift","呪文の強化","法术精进","스펠 체크","Юный алхимик","خبير التعويذات","法術無邊","طلسم تسلیم","Periksa Ejaan Mantra","Ramuan Sihir","Kiểm tra Thần chú","รวมมิตรเวทมนตร์","Loitsut kuntoon"
"TID_EVENT_TITLE_WALLNOTHING","Wall or Nothing","Murs imprenables","Mauern, was das Zeug hält!","Muros seguros","Un muro è per sempre","Muurproef doorstaan","Ny mur, aldri sur","Muro ou nada","Duvar Döşer","壁一重","建墙不息","포에버 장벽","Голые стены","الجدار العظيم","建牆不屈","یا دیوار یا هیچی","Tembok atau Dicaplok","Bukit Benteng","Vạn lý Tường thành","เสริมพลังกำแพง","Muurikuuri"
"TID_EVENT_TITLE_ZEROTOHERO","Zero to Hero","Super héros","Vom Feigling zum Helden","Heroificación","Eroi alla carica","Held op sokken","Helt rå","De dodói a herói","Sıfırdan Kahraman","ヒーローの素","英雄崛起","슈퍼 영웅","Из грязи в князи","درب الأبطال","英雄崛起","از قعر تا قهرمان","Pecundang Jadi Pahlawan","Perwira Perkasa","Hỗ trợ Tướng","กำเนิดผู้กล้า","Sankaritarina"
"TID_EVENT_TITLE_FIGHTCLUB","Fight Club","Fight club","Klub der Helden","El club de la lucha","Fight Club","Vechtclub","Slåsseklubb","Clube da luta","Dövüş Kulübü","ファイトクラブ","战斗书会","파이트 클럽","Бойцовский клуб","نادي القتال","鬥陣讀書會","باشگاه مشت‌زنی","Gila Bertarung","Kelab Laga","Sàn đấu Sinh tử","สโมสรนักสู้","Fight Club"
"TID_EVENT_TITLE_FIGHTNIGHT","Fight Night","Nuit pugiliste","Kampfkunstkompendium","Mucha lucha","Botte da orbi","Vechtnacht","Kampkveld","Noite de açoite","Dövüş Gecesi","戦いの夜","一战成名","전투의 밤","Бой всей гурьбой","ليلة المعركة","一戰成名","شب جنگ","Malam Pertarungan","Malam Melaga","Đêm đấu Sinh tử","คืนหมัดมวย","Taistovaisto"
"TID_EVENT_TITLE_HOLDMYGOLD","Hold my Gold","Raison d'or","Projekt Gold","Tesoro de oro","Al lavORO","Hou jij me goud effe vast","Hold gullet mitt","Abasteced'ouro","Altın Fırsat","ゴールド活用法","整装待发","장인, 골드를 부탁해","Держи карман шире","أعمدة الذهب","整裝待發","خشت طلایی","Simpanan Emas","Simpan Emasku","Tăng gia Sản xuất","กรุทองคำ","Kultainen urakka"
