TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_EVENT_TITLE,Mashup Mania!,جنون المزيج,合体狂热！,縫合狂熱！,Mischmaschmanie!,¡Multitropas frenéticas!,دیوانگی درهم‌آمیزی!,Sekoitushulina!,Furieuses fusions !,Fusi Ngeri!,Collage da brividi,禁断の厄災！,매시업 대소동!,Mania Gabungan!,Chaotische gekte!,Mashup-mani!,Maluquice Medonha,Жуткий беспредел!,รวมร่างบ้าระห่ำ!,Deney Çılgınlığı!,Cơn sốt kết hợp!
TID_EVENT_TEXT,"The Builder's Apprentice needs your help! Collect Sour Elixir from Multiplayer Battles, earn Mashup Medals, and put an end to the mania!",يحتاج تلميذ البنّاء إلى مساعدتك! اجمع الإكسير الحمضي من المعارك المتعددة اللاعبين، واربح أوسمة المزيج، وأنهِ هذا الجنون.,建筑工人学徒需要您的帮助！通过联机模式战斗收集酸腐圣水，获取合体奖章，结束这场狂热！,建築工人學徒需要你的幫助！透過多人遊戲戰鬥收集酸腐聖水，獲取縫合幣，結束這場狂熱！,"Der Bauarbeiterlehrling benötigt deine Hilfe! Sammle Saures Elixier in Mehrspieler-Kämpfen, verdiene Mixmedaillen und setze dem Wahnsinn ein Ende!","¡El constructor aprendiz necesita tu ayuda! ¡Consigue elixir ácido, gana medallas de multitropas y ponle fin a este frenesí!",سازنده کارآموز به کمک شما نیاز دارد! از نبردهای چند نفره اکسیر ترش جمع کنید، مدال‌های درهم‌آمیزی را کسب کنید و به این دیوانگی پایان دهید!,"Rakentajan oppipoika kaipaa apuasi! Kerää hapanta eliksiiriä moninpelitaisteluista, ansaitse sekoitusmitaleja ja auta saamaan tämä hulina päätökseen.","L'apprenti ouvrier a besoin de vous ! Récupérez de l'élixir sinistre en combats multijoueurs, gagnez des médailles sinistres et arrêtez les monstres !","Tukang Magang perlu bantuanmu! Kumpulkan Eliksir Edan dari Pertempuran Multipemain, raih Medali Edan, dan akhiri semua kengerian ini!","L'apprendista costruttore ha bisogno del tuo aiuto! Accumula elisir acido dalle battaglie multigiocatore, ottieni medaglie del Collage e poni fine al terrore!",見習い大工が助けを求めています！マルチプレイ戦で禁断のエリクサーを集め、禁断のメダルを手に入れて厄災に終止符を打ちましょう！,"견습 장인에게 대장님의 도움이 필요합니다! 멀티플레이 전투에서 오싹한 엘릭서를 모아 매시업 메달을 획득하고, 이 한바탕 대소동을 끝내세요!","Perantis Pembina perlukan bantuan anda! Kumpul eliksir masam daripada Pertempuran Berbilang Pemain, meraih Pingat Gabungan dan menyelesaikan cabaran mania ini!","De bouwvakkers leerling heeft je hulp nodig! Verzamel zuur elixir via multiplayergevechten, verdien Chaotische gekte-medailles en beëindig de gekte!","Byggerens lærling trenger din hjelp! Samle sur eliksir fra flerspillerslag, tjen mashup-medaljer, og få en slutt på manien!","O Aprendiz de Construtor precisa da sua ajuda! Colete elixir ácido nas batalhas multijogador, ganhe medalhas medonhas e acabe com essa maluquice!","Ученику строителя нужна помощь! Собирайте кислый эликсир в многопользовательских боях, зарабатывайте жуткие медали и остановите беспредел!",ช่างก่อสร้างฝึกหัดต้องการความช่วยเหลือจากท่าน! สะสมน้ำอมฤตหมักจากการต่อสู้แบบผู้เล่นหลายคน รับเหรียญรวมร่าง และปิดฉากความบ้าระห่ำสุดโกลาหล!,"İnşaatçı Çırağının yardımına ihtiyacı var! Çok oyunculu savaşlardan ekşi iksir topla, deney madalyaları kazan ve bu çılgınlığa bir son ver!","Thợ xây học việc đang cần bạn hỗ trợ! Hãy thu thập Tiên dược chua từ các trận chiến nhiều người chơi, kiếm Huy chương kết hợp và chấm dứt sự hỗn loạn này!"
TID_BUTTON_0,Open,فتح,打开,開啟,Öffnen,Abrir,باز کردن,Avaa,Ouvrir,Buka,Apri,開く,열기,Buka,Openen,Åpne,Abrir,Открыть,เปิด,Aç,Mở
BUTTON_0,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack,clashofclans://OpenProgressTrack
TID_MEDAL_EVENT_TOKENS_LEFT,Medals left <num>,الأوسمة المتبقية <num>,剩余奖章：<num>,剩餘活動幣：<num>,Übrige Medaillen: <num>,Medallas restantes: <num>,مدال‌های باقیمانده <num>,Mitaleja jäljellä: <num>,Encore <num> médailles,Medali tersisa: <num>,Medaglie rimaste: <num>,残りのメダル：<num>,남은 메달: <num>개,Baki pingat: <num>,Resterende medailles: <num>,Medaljer igjen: <num>,Medalhas restantes: <num>,Осталось медалей: <num>,เหรียญที่เหลือ: <num>,Kalan Madalya: <num>,Huy chương còn lại: <num>
TID_MEDAL_EVENT_SOFT_CURRENCY,Sour Elixir,الإكسير الحمضي,酸腐圣水,酸腐聖水,Saures Elixier,Elixir ácido,اکسیر ترش,Hapanta eliksiiriä,Élixir sinistre,Eliksir Edan,Elisir acido,禁断のエリクサー,오싹한 엘릭서,Eliksir Masam,Zuur elixir,Sur eliksir,Elixir ácido,Кислый эликсир,น้ำอมฤตหมัก,Ekşi İksir,Tiên dược chua
TID_MEDAL_EVENT_HARD_CURRENCY,Mashup Medals,أوسمة المزيج,合体奖章,縫合幣,Mixmedaillen,Medallas de multitropas,مدال‌های درهم‌آمیزی,Sekoitusmitaleja,Médailles sinistres,Medali Edan,Medaglie del Collage,禁断のメダル,매시업 메달,Pingat Gabungan,Chaotische gekte-medailles,Mashup-medaljer,Medalhas medonhas,Жуткие медали,เหรียญรวมร่าง,Deney Madalyaları,Huy chương kết hợp
TID_MEDAL_EVENT_INFO,"Collect Sour Elixir, earn Mashup Medals, and save your Village from Mashup Mania!",اجمع الإكسير الحمضي واربح أوسمة المزيج وأنقذ قريتك من جنون المزيج.,收集酸腐圣水，获取合体奖章，拯救您的村庄，使其免受合体狂热侵害！,收集酸腐聖水，獲取縫合幣，拯救你的村莊，使其免受縫合狂熱侵害！,"Sammle Saures Elixier, verdiene Mixmedaillen und bewahre dein Dorf vor der Mischmaschmanie!","¡Consigue elixir ácido, gana medallas de multitropas y defiende tu aldea de las multitropas frenéticas!",اکسیر ترش جمع کنید، مدال‌های درهم‌آمیزی را کسب کنید و دهکده‌تان را از دیوانگی درهم‌آمیزی نجات دهید!,"Kerää hapanta eliksiiriä, ansaitse sekoitusmitaleja ja pelasta kyläsi sekoitushulinalta!","Récupérez de l'élixir sinistre, gagnez des médailles sinistres et sauvez le village !","Kumpulkan Eliksir Edan, raih Medali Edan, dan selamatkan Desa dari Koalisi Rusuh!","Accumula elisir acido, guadagna medaglie del Collage ed evita che nel tuo villaggio venga seminato il panico!",禁断のエリクサーを集めて禁断のメダルを入手し、禁断の厄災から村を守りましょう！,"오싹한 엘릭서를 모아 매시업 메달을 획득하고, 매시업 대소동으로부터 마을을 지키세요!","Kumpul eliksir masam, meraih Pingat Gabungan dan selamatkan kampung anda daripada Mania Gabungan!","Verzamel zuur elixir, verdien Chaotische gekte-medailles en red je dorp van de chaos!","Samle sur eliksir, tjen mashup-medaljer, og redd landsbyen din fra mashup-manien!","Colete elixir ácido, ganhe medalhas medonhas e salve sua vila da Maluquice Medonha!","Собирайте кислый эликсир, зарабатывайте жуткие медали и остановите беспредел!",สะสมน้ำอมฤตหมัก รับเหรียญรวมร่าง และช่วยหมู่บ้านจากการรวมร่างบ้าระห่ำ!,"Ekşi iksir topla, deney madalyaları kazan ve köyünü deney çılgınlığından kurtar!","Thu thập Tiên dược chua, kiếm Huy chương kết hợp và giải phóng làng khỏi sự hỗn loạn này!"
TID_MEDAL_EVENT_TITLE,Mashup Mania!,جنون المزيج,合体狂热！,縫合狂熱！,Mischmaschmanie!,¡Multitropas frenéticas!,دیوانگی درهم‌آمیزی!,Sekoitushulina!,Furieuses fusions !,Fusi Ngeri!,Collage da brividi,禁断の厄災！,매시업 대소동!,Mania Gabungan!,Chaotische gekte!,Mashup-mani!,Maluquice Medonha,Жуткий беспредел!,รวมร่างบ้าระห่ำ!,Deney Çılgınlığı!,Cơn sốt kết hợp!
